datum,castka,typ,nazev_protiuctu,zprava_pro_prijemce,ks,vs,ss,poznamka
08.06.2021,"-5 000,00 CZK",Bezhotovostní platba,,FA 2021003 - marketingové poradenství,NA,2021003,42,ÚLK - Jan Panocha
08.06.2021,"5 000,00 CZK",Platba převodem uvnitř banky,Strana zelených,Převod prostředků KO ÚLK na volební účet SZ - volby do PS PČR 2021,NA,NA,42,Převod prostředků KO ÚLK na volební účet SZ - volby do PS PČR 2021
04.06.2021,"-15 000,00 CZK",Okamžitá odchozí platba,,"FA 19/2021 - výroba 7 videí pro kampaň ""Ulice pro lidi""",NA,192021,64,JMK - Jan Fuksa
04.06.2021,"15 000,00 CZK",Platba převodem uvnitř banky,Strana zelených,Převod prostředků KO JMK na volební účet SZ - volby do PS PČR 2021,NA,NA,64,Převod prostředků KO JMK na volební účet SZ - volby do PS PČR 2021
06.01.2021,"100,00 CZK",Platba převodem uvnitř banky,Strana zelených,převod z provozního účtu na účet pro volby do PS PČR 2021 (aktivace účtu),NA,NA,NA,převod z provozního účtu na účet pro volby do PS PČR 2021 (aktivace účtu)
