strana,stav_leden_2021,stav_dnes,suma_prijmu,suma_vydaju,suma_celkem,bezny_zustatek
pirati_stan,"100,00 CZK","29 439 735,98 CZK","51 865 840,86 CZK","-22 426 204,88 CZK","29 439 635,98 CZK","29 439 735,98 CZK"
ods_kdu_top09,"0,00 CZK","63 170,09 CZK","37 153 368,64 CZK","-37 090 198,55 CZK","63 170,09 CZK","63 170,09 CZK"
spd,"0,00 CZK","132 318,84 CZK","38 902 268,00 CZK","-38 769 949,16 CZK","132 318,84 CZK","132 318,84 CZK"
cssd,"0,00 CZK","184 569,29 CZK","9 290 803,38 CZK","-9 106 234,09 CZK","184 569,29 CZK","184 569,29 CZK"
trikolora,"0,00 CZK","6 337 838,80 CZK","10 852 431,50 CZK","-4 514 592,70 CZK","6 337 838,80 CZK","6 337 838,80 CZK"
zeleni,"0,00 CZK","163 600,00 CZK","263 023,00 CZK","-99 423,00 CZK","163 600,00 CZK","163 600,00 CZK"
prisaha,"0,00 CZK","73 058,15 CZK","3 865 700,00 CZK","-3 792 641,85 CZK","73 058,15 CZK","73 058,15 CZK"
