entity,balance_january_2021,balance_today,sum_income,sum_costs,sum_total,current_balance
pirati_stan,100.00,29759707.96,56448090.86,-26688482.90,29759607.96,29759707.96
ods_kdu_top09,0.00,22653153.63,69870731.39,-47217577.76,22653153.63,22653153.63
spd,0.00,8385.42,39052268.00,-39043882.58,8385.42,8385.42
cssd,0.00,41134.41,15141803.38,-15100668.97,41134.41,41134.41
trikolora,0.00,6109047.58,12354111.50,-6245063.92,6109047.58,6109047.58
zeleni,0.00,75486.05,296528.95,-221042.90,75486.05,75486.05
prisaha,0.00,48753.15,3866200.00,-3817446.85,48753.15,48753.15
