strana,stav_leden_2021,stav_dnes,suma_prijmu,suma_vydaju,suma_celkem,bezny_zustatek
pirati_stan,"100,00 CZK","30 036 415,59 CZK","51 865 840,86 CZK","-21 829 525,27 CZK","30 036 315,59 CZK","30 036 415,59 CZK"
ods_kdu_top09,"0,00 CZK","83 052,39 CZK","36 553 368,64 CZK","-36 470 316,25 CZK","83 052,39 CZK","83 052,39 CZK"
spd,"0,00 CZK","188 184,71 CZK","38 902 268,00 CZK","-38 714 083,29 CZK","188 184,71 CZK","188 184,71 CZK"
cssd,"0,00 CZK","154 569,29 CZK","9 240 803,38 CZK","-9 086 234,09 CZK","154 569,29 CZK","154 569,29 CZK"
trikolora,"0,00 CZK","6 364 284,78 CZK","10 852 431,50 CZK","-4 488 146,72 CZK","6 364 284,78 CZK","6 364 284,78 CZK"
zeleni,"0,00 CZK","163 600,00 CZK","263 023,00 CZK","-99 423,00 CZK","163 600,00 CZK","163 600,00 CZK"
prisaha,"0,00 CZK","97 258,15 CZK","3 865 700,00 CZK","-3 768 441,85 CZK","97 258,15 CZK","97 258,15 CZK"
